Name,Tel,Hours,After hours,Address,City,Link,Picture
Showa University Hospital,03-3784-8000,Mon-Sat 8:00-11:00,Emergency Only,1-5-8 Hatanodai,"Shinagawa-ku, Tokyo 142-0064",http://www.showa-u.ac.jp/SUH/index.html,https://lh4.googleusercontent.com/proxy/I1ONaP7KgnHR3syuSRvZqbtiF7Y9WTdTPsi0MHIX_3BJgEhztwYUskxdAW5bSybMxhQiFRkgob7u2wJU5jPxIZb9hvpRdTLmTFJXymrBtNDpFlkcfCVn-4HOZ2GdprHjlLq1emeTONeRBqui4Xw7_zjMwA1fYw=w408-h305
Tokyo Medical University Hospital,03-3342-6111,Mon-Fri 8:00-11:00,Emergency Only,6-7-1 Nishi Shinjuku,"Shinjuku-ku, Tokyo 160-0023",http://hospinfo.tokyo-med.ac.jp/,https://lh6.googleusercontent.com/proxy/iyzUPOa-3uEm5pnNpcPTPD7L_mJ4qgTvOtoPjwdnJiVmrHxP0_H_aYCpySe3or7yGf-p0P7Ne7j0fBmPETQ3Oa7JSqXZ18J8x-ZJO5aiP0VQ3qjmnmC3d2_2MO3EccyMiM186na4R8S7HW-yHOfa03wdcWg2Rw=w408-h326
St. Luke's International Hospital,03-3541-5151,Mon-Sat 8:30-11:00,Emergency Only,9-1 Akashi-cho,"Chuo-ku, Tokyo 104-8560",http://hospital.luke.ac.jp/eng/index.html,https://lh4.googleusercontent.com/proxy/xCwgIGR7tovwRNKDQ2pKhAI6zmFfH-ia3bL8e5TvTb_ZBr6AV5o3G6AlZdfIiUmw5FgaLSXxp4hk7IGzMoOzNUD6rbpQuQ=w408-h306
Tokyo Metropolitan Hiroo Hospital,03-3444-1181,9:00-17:00,Emergency Only,2-34-10 Ebisu,"Shibuya-ku, Tokyo 150-0013",http://www.byouin.metro.tokyo.jp/hiroo/e_top.html,https://lh6.googleusercontent.com/proxy/KLFXXpRrIEx2eeDh9C8kMmAivaK4HpappBrquon8Wml46hoCMXYMTlS7uprk3GAtGfa4c1Q8UjFSatdMgO3-P95TpM0apklFBSMSSjsJLUhTNBFEGH_DMoG0FhQODcH25FtoT-fkwCOvCJB7FJcvrB3EXzaInWY=w408-h279
The Universivy of Tokyo Hospital,03-3815-5411,Mon-Fri 8:25-17:00,Emergency Only,7-3-1 Hongo,"Bunkyo-ku, Tokyo 113-8655",http://www.h.u-tokyo.ac.jp/english,http://www.u-tokyo.ac.jp/content/400020411.jpg
Keio University Hospital,03-3353-1211,Mon-Fri 8:25-17:00,Emergency Only,Shinanomachi 35,"Shinjuku-ku, Tokyo 160-8582",http://www.hosp.keio.ac.jp/,https://lh3.googleusercontent.com/proxy/AWNVCVEGZHCpgLLRmaWdWtdH74TCAO7mjDjRSBkTrjKJYrtLy2loY7YzaOdSh9k_epqBVCGtLc3RMn60EVcgx7bv87C6PnWgQdw1RYXpkykm15pGSsm-q-C8eJ4tQio637qFsahDn_2spVfsFgdFeKrd8sWMQQ=w408-h288
The Jikei University Hospital,03-3433-1111,"9:00-, 13:30-17:30",Emergency Only,3-19-18 Nishi Shimbashi,"Minato-ku, Tokyo 105-8471",http://www.jikei.ac.jp/hospital/honin/index.html,https://lh4.googleusercontent.com/proxy/SSublv1lptPcIToO25zErTN7hkPMm9KhdV7SUAtnn1Zr6DYbdHNJqQaR9i1YAtWMpM9AcB5kY20fL2Ps3Kk_h3WsvtgFwg=w408-h271
Nomura Hospital,0422-47-4848,"Mon-Fri 9:00-12:00, 14:00-16:30",Emergency Only,8-3-6 Shimorenjaku,"Mitaka-shi, Tokyo 181-8503",http://www.nomura.or.jp/,https://geo1.ggpht.com/cbk?panoid=SbWpP32censAAAGu4vbxsA&output=thumbnail&cb_client=search.TACTILE.gps&thumb=2&w=408&h=256&yaw=213.88126&pitch=0
Sanno Hospital,03-3402-2187,8:30-17:30,Emergency Only,8-10-16 Akasaka,"Minato-ku, Tokyo 107-0052",http://www.sannoclc.or.jp/,https://lh4.googleusercontent.com/proxy/Tmotqj_vfMDdKOX4syJA8Mj8pTZbYU_VWBJaN_Y-xKBc4HU6De9zgYCTZCOzQR5E7nz2kWKom9p5SU6d9aZ0_4eYnW-ywEBRLUqBIcLWuk4Pi7p1wY-SAwAGMQrxt0zbWRoF0otb8sdCGYMltC0xp2Yi1k-5g2k=w408-h305
Seibo Byoin International Catholic Hospital,03-3951-1111,See website,Emergency Only,2-5-1 Nakaochiai,"Shinjuku-ku, Tokyo 161-8521",http://www.seibokai.or.jp/,https://lh5.googleusercontent.com/proxy/v0UCBAMv31NFeIkrgANS2DL8YMOIbtgk0_zDS-OGTSSnwtR076TL-G9GWnnHsRMv3MXz7l--DjRrnZDLeYjZQfQvuaQWs0rz0ZJuI8m5s1OzPC2aIVqshK6C3jUq2TJPzDJHH8FAiIW65CIWHkMEuUiDY-tlqw=w408-h298
Tokyo Adventist Hospital(Tokyo Eisei Byoin),03-3392-6151,"Mon-Thurs 9:00-12:30, 14:00-15:30",Emergency Only,3-17-3 Amanuma,"Suginami-ku, Tokyo 167-8507",http://www.tokyoeisei.com/,https://upload.wikimedia.org/wikipedia/commons/6/64/Tokyo_eisei_hospital.JPG
