Shibuya ,,,,,,,
,,,,,,,
Hachiko,2-1 DogenzakaShibuya-kuTokyo  , 道玄坂2-1,"Shibuya station's Hachiko Gate leads out towards the famous Shibuya Crossing and to the statue of Hachiko, the dog who waited patiently at this station for its deceased owner for many years.",http://www.vaakitarescue.org/img/Hachiko%20(2).jpg,https://media-cdn.tripadvisor.com/media/photo-s/01/6a/82/1e/hachiko.jpg,https://www.google.co.jp/search?q=yoyogi+park&hl=ja&biw=1240&bih=716&site=webhp&source=lnms&tbm=isch&sa=X&ved=0ahUKEwiH0NHS99HNAhUGk5QKHc6yAuAQ_AUIBygC#hl=ja&tbm=isch&q=hachico+shibuya&imgrc=taSqo09daZs4wM%3A,
Kawaii Monster Cafe,"4F YM Square Building, 4-31-10 JingumaeShibuya-kuTokyo  ",神宮前4-31-10 YMスクエア 4F,"This colorful theme cafe in Harajuku is located on the 4th floor of the YM Square building, one block North of the Meijijingu-Mae metro station.",http://tokyofashion.com/wp-content/uploads/2015/07/Kawaii-Monster-Cafe-Harajuku-006.jpg,https://www.google.co.jp/search?q=yoyogi+park&hl=ja&biw=1240&bih=716&site=webhp&source=lnms&tbm=isch&sa=X&ved=0ahUKEwiH0NHS99HNAhUGk5QKHc6yAuAQ_AUIBygC#hl=ja&tbm=isch&q=kawaii+monster+cafe&imgrc=0S7-n1XDvz_ETM%3A,https://www.google.co.jp/search?q=yoyogi+park&hl=ja&biw=1240&bih=716&site=webhp&source=lnms&tbm=isch&sa=X&ved=0ahUKEwiH0NHS99HNAhUGk5QKHc6yAuAQ_AUIBygC#hl=ja&tbm=isch&q=kawaii+monster+cafe&imgrc=5Wpf3ttSFT512M%3A,https://www.google.co.jp/search?q=yoyogi+park&hl=ja&biw=1240&bih=716&site=webhp&source=lnms&tbm=isch&sa=X&ved=0ahUKEwiH0NHS99HNAhUGk5QKHc6yAuAQ_AUIBygC#hl=ja&tbm=isch&q=kawaii+monster+cafe&imgrc=j6V553byivkLSM%3A
Yoyogi Park,1 Yoyogikamizono-cho Shibuya-ku Tokyo  , 代々木神園町2-1,"Yoyogi Park is one of the largest parks in central Tokyo and is located next to Harajuku Station and Meiji Shrine. It is a place where joggers, cyclists, music fans and picnickers gather on sunny days. It is especially crowded during the cherry blossom season.",https://upload.wikimedia.org/wikipedia/commons/f/f3/Fountain_Yoyogipark.JPG,http://www.japan-guide.com/g3/3034_04.jpg,http://www.japan-guide.com/g3/3034_03.jpg,https://tokyoguideiwish.files.wordpress.com/2014/01/hanamiyoyogi.jpg
Meiji Jingu Shrine,1-1 Yoyogikamizono-cho Shibuya-ku Tokyo  , 代々木神園町1-1,Meiji Jingu Shrine is a popular tourist hotspot close to Harajuku and Yoyogi Park. You can easily spend a few hours wandering around this area. It's particularly busy during national holidays and on New Year's.,https://upload.wikimedia.org/wikipedia/commons/a/a7/Meiji-Jingu-Shrine-06.jpg,https://upload.wikimedia.org/wikipedia/commons/2/21/Meiji-Jingu-Shrine-01.jpg,https://mantis4d.files.wordpress.com/2009/11/meiji-jingu-shrine-wpb.jpg,https://www.google.co.jp/search?q=yoyogi+park&hl=ja&biw=1240&bih=716&site=webhp&source=lnms&tbm=isch&sa=X&ved=0ahUKEwiH0NHS99HNAhUGk5QKHc6yAuAQ_AUIBygC#hl=ja&tbm=isch&q=meiji+jingu+shrine+&imgrc=A06v0gNWEU-_hM%3A
Shibuya 109,2-29-1 DogenzakaShibuya-kuTokyo , 道玄坂2-29-1,"Shibuya 109 is a women's fashion mall and a true landmark of the Shibuya area. Its brother, the 109 Men's mall, is located just on the other side of the street.",http://unspokenmag.com/wp-content/uploads/2014/04/Girls-Generation-Shibuya-109-Christmas-002-G3060.jpg,http://tokyofashion.com/wp-content/uploads/2013/01/Japan-Fukubukuro-Shibuya-Happy-Bags-2013-006.jpg,http://4.bp.blogspot.com/-oAwL9NdNyWs/UmasKTPF16I/AAAAAAAACxc/ZCm2tdqBNdQ/s1600/shibuya+109+final.jpg,
Takeshita Dori,1 JingumaeShibuya-kuTokyo  ,神宮前1,akeshita Street is a popular 'youth culture/fashion' shopping street located in Harajuku.,http://images.dannychoo.com/cgm/images/post/20111225/26369/136618/large/6c5aec11cb6803d013e7974724191af7.jpg,http://www.japanesestreets.com/media/12857.jpg,http://tokyofashion.com/wp-content/uploads/2013/12/Harajuku-Christmas-Takeshita-Dori-13-2070.jpg,http://tokyofashion.com/wp-content/uploads/2012/12/Harajuku-Takeshita-Dori-Christmas-2012-031-0663.jpg
,,,,,,,
Ginza ,,,,,,,
Tokyo International Forum,3-5-1 MarunouchiChiyoda-kuTokyo  ,丸の内3-5-1,"Deesigned by Rafael Viñoly Architects, this multi-purpose building is used as a concert hall, convention center and event space. Located in the Marunouchi business area close to Tokyo Station, concerts range from classical to jazz festival artists to established performers such as Yoko Ono. Convention center areas at the Tokyo International Forum are generally used for trade fairs and other events. The building also houses the Mitsuo Aida Museum (11F), a space dedicated to one of Japan's most famous calligraphers.",https://upload.wikimedia.org/wikipedia/commons/2/2a/Tokyo_international_forum02s3872.jpg,http://www.rvapc.com/images-production/Projects/1/1_tmp7CF.jpg,http://businesseventstokyo.org/uploads/2013/06/TokyoInternationalForum.jpg,http://payload109.cargocollective.com/1/6/215239/4483124/Tokyo-International-Forum-Rafael-Violy-photo-by-Jonathan-Savoie-02_2048.jpg
Ginza Mitsukoshi,4-6-16 GinzaChuo-kuTokyo  , 銀座4-6-16,A large department store located in the upmarket and classy neighborhood of Ginza.,https://upload.wikimedia.org/wikipedia/commons/4/4a/Ginza_Mitsukoshi_2012.JPG,http://art17.photozou.jp/pub/201/175201/photo/34605606_624.jpg,http://stat.ameba.jp/user_images/20121112/16/mid-blog/da/3e/j/o0800058112282589849.jpg,http://www.ginza-guide.com/uploads/photo/20b1a85e4ac9d08e090d445c0fc3a137d60d6861.jpg
